Category,Item,One-time estimate,Monthly estimate,Due date,Confirmed supplier or source,Notes
Setup,Registration and professional advice,,,,,
Credentials,Training licenses and permits,,,,,
Insurance,Policy deposit and installments,,,,,
Equipment,Purchase rental and delivery,,,,,
Vehicles,Vehicle costs and business use,,,,,
Materials,First-job supplies and deposits,,,,,
Workforce,Payroll and subcontractor payments,,,,,
Operations,Fuel disposal storage and communications,,,,,
Marketing,Website introductions and estimating,,,,,
Cash reserve,Delay and overrun reserve,,,,,
Collections,Customer deposit or progress payment,,,,,
Collections,Final payment and expected collection date,,,,,
