day_ET,sessions_observed,form_starts_observed,completed_submissions,new_acquisitions,unjoined_paid_signal_completions,all_web_and_native_completions_including_unattributed
2026-09-05,,,11,11,0,13
2026-09-06,,,19,19,0,19
2026-09-07,,,18,18,0,19
2026-09-08,,,19,17,0,21
2026-09-09,,,18,17,0,19
2026-09-10,,,18,17,0,20
2026-09-11,,,16,16,0,20
2026-09-12,150,1,34,27,0,35
2026-09-13,273,17,19,18,0,22
2026-09-14,238,26,26,26,0,32
2026-09-15,243,20,22,22,0,28
2026-09-16,244,11,16,16,0,17
2026-09-17,202,9,15,14,0,21
2026-09-18,286,23,16,15,0,19
