level,object_id,campaign_id,day_ET,spend,impressions,link_clicks,CPM,link_CTR_pct,link_CPC,completed,new_acquisitions,completed_CPL,observed_sessions,observed_starts,measurement_flags
AD,120250540502680660,120250540492410660,2026-08-19,0.16,2,0,80.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-08-20,0.69,16,1,43.12,6.25,0.69,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-08-21,13.92,179,4,77.77,2.235,3.48,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-08-22,12.96,174,1,74.48,0.575,12.96,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-08-23,16.94,309,5,54.82,1.618,3.39,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-08-24,22.61,375,6,60.29,1.6,3.77,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-08-25,17.52,323,2,54.24,0.619,8.76,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-08-26,5.59,86,0,65.0,0.0,,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-08-27,7.32,102,5,71.76,4.902,1.46,1,1,7.32,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-08-28,7.02,115,3,61.04,2.609,2.34,2,2,3.51,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-08-29,11.93,221,7,53.98,3.167,1.7,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-08-30,32.98,696,6,47.39,0.862,5.5,1,1,32.98,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-08-31,23.94,419,10,57.14,2.387,2.39,2,2,11.97,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-01,30.58,533,10,57.37,1.876,3.06,3,3,10.19,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-02,44.97,1037,18,43.37,1.736,2.5,2,2,22.48,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-03,107.8,2870,28,37.56,0.976,3.85,5,5,21.56,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-04,73.87,1638,20,45.1,1.221,3.69,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-05,77.73,1588,23,48.95,1.448,3.38,3,3,25.91,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-06,100.24,2477,27,40.47,1.09,3.71,4,4,25.06,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD,120250540502680660,120250540492410660,2026-09-07,87.53,2162,22,40.49,1.018,3.98,1,1,87.53,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
