level,object_id,campaign_id,day_ET,spend,impressions,link_clicks,CPM,link_CTR_pct,link_CPC,completed,new_acquisitions,completed_CPL,observed_sessions,observed_starts,measurement_flags
AD SET,120250540493670660,120250540492410660,2026-08-18,76.32,2165,23,35.25,1.062,3.32,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-19,98.27,2075,40,47.36,1.928,2.46,2,2,49.13,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-20,68.36,1566,27,43.65,1.724,2.53,5,5,13.67,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-21,55.25,1092,17,50.6,1.557,3.25,0,0,,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-22,42.03,907,11,46.34,1.213,3.82,5,5,8.41,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-23,100.63,2232,20,45.09,0.896,5.03,3,3,33.54,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-24,89.51,2211,21,40.48,0.95,4.26,6,6,14.92,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-25,77.45,1838,17,42.14,0.925,4.56,3,3,25.82,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-26,51.72,1226,14,42.19,1.142,3.69,1,1,51.72,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-27,70.36,1661,22,42.36,1.325,3.2,4,4,17.59,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-28,66.43,1433,23,46.36,1.605,2.89,7,7,9.49,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-29,68.19,1957,19,34.84,0.971,3.59,1,1,68.19,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-30,100.64,2865,23,35.13,0.803,4.38,2,2,50.32,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-08-31,67.14,1643,23,40.86,1.4,2.92,5,5,13.43,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-01,73.02,1482,20,49.27,1.35,3.65,3,3,24.34,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-02,80.72,1820,28,44.35,1.538,2.88,5,5,16.14,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-03,151.61,4118,49,36.82,1.19,3.09,8,8,18.95,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-04,107.3,2362,29,45.43,1.228,3.7,1,1,107.3,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-05,114.18,2230,37,51.2,1.659,3.09,3,3,38.06,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-06,144.56,3416,39,42.32,1.142,3.71,8,8,18.07,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-07,130.55,3229,33,40.43,1.022,3.96,2,2,65.28,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-08,105.62,2380,25,44.38,1.05,4.22,4,4,26.41,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-09,120.64,2467,24,48.9,0.973,5.03,4,4,30.16,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-10,126.92,2750,38,46.15,1.382,3.34,4,3,31.73,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-11,119.58,2369,18,50.48,0.76,6.64,1,1,119.58,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-12,68.97,1237,15,55.76,1.213,4.6,3,3,22.99,0,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-13,26.29,432,6,60.86,1.389,4.38,1,1,26.29,4,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-14,31.03,496,5,62.56,1.008,6.21,1,1,31.03,3,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-15,38.45,663,4,57.99,0.603,9.61,0,0,,4,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-16,40.03,608,7,65.84,1.151,5.72,2,2,20.02,8,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-17,42.09,661,11,63.68,1.664,3.83,2,2,21.05,12,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250540493670660,120250540492410660,2026-09-18,34.33,587,9,58.48,1.533,3.81,1,1,34.33,8,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250682685570660,120250540492410660,2026-08-18,87.72,2694,30,32.56,1.114,2.92,5,5,17.54,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250682685570660,120250540492410660,2026-08-19,82.85,2169,21,38.2,0.968,3.95,2,2,41.42,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250682685570660,120250540492410660,2026-08-20,58.58,1745,15,33.57,0.86,3.91,1,1,58.58,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250682685570660,120250540492410660,2026-08-21,57.16,1973,22,28.97,1.115,2.6,3,3,19.05,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250682685570660,120250540492410660,2026-08-22,53.22,2213,27,24.05,1.22,1.97,3,3,17.74,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250682685570660,120250540492410660,2026-08-23,96.36,4329,34,22.26,0.785,2.83,6,6,16.06,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250682685570660,120250540492410660,2026-08-24,86.21,3179,24,27.12,0.755,3.59,3,3,28.74,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250682685570660,120250540492410660,2026-08-25,78.62,2901,28,27.1,0.965,2.81,4,4,19.66,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250682685570660,120250540492410660,2026-08-26,62.82,2187,18,28.72,0.823,3.49,5,5,12.56,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
AD SET,120250682685570660,120250540492410660,2026-08-27,72.14,2677,26,26.95,0.971,2.77,5,5,14.43,,,Sessions beforeSep12 unavailable; Sep12 partial; property/retained starts unavailable; outcomes use occurrence day and exact stored IDs.
