level,campaign_id,campaign,day_ET,spend,impressions,link_clicks,CPM,link_CTR_pct,link_CPC,completed_saved,new_acquisitions,observed_starts,observed_sessions,CPL_saved,CPL_new,cost_per_observed_start,measurement_flags
CAMPAIGN,120251080549940660,Pool,2026-09-13,392.38,8441,79,46.49,0.936,4.97,4,4,5,82,98.09,98.09,78.48,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080549940660,Pool,2026-09-14,346.69,7789,54,44.51,0.693,6.42,4,4,6,55,86.67,86.67,57.78,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080549940660,Pool,2026-09-15,280.66,6298,33,44.56,0.524,8.5,1,1,2,33,280.66,280.66,140.33,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080549940660,Pool,2026-09-16,282.97,6443,32,43.92,0.497,8.84,1,1,1,34,282.97,282.97,282.97,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080549940660,Pool,2026-09-17,309.09,5385,32,57.4,0.594,9.66,1,0,2,33,309.09,,154.54,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080549940660,Pool,2026-09-18,331.61,6746,46,49.16,0.682,7.21,0,0,3,43,,,110.54,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550210660,Tree,2026-09-13,132.92,4276,25,31.09,0.585,5.32,2,2,4,26,66.46,66.46,33.23,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550210660,Tree,2026-09-14,135.83,4485,22,30.29,0.491,6.17,3,3,5,21,45.28,45.28,27.17,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550210660,Tree,2026-09-15,132.12,5752,30,22.97,0.522,4.4,2,2,5,26,66.06,66.06,26.42,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550210660,Tree,2026-09-16,111.37,4563,16,24.41,0.351,6.96,2,2,3,15,55.69,55.69,37.12,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550210660,Tree,2026-09-17,99.31,3242,9,30.63,0.278,11.03,0,0,0,8,,,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550210660,Tree,2026-09-18,108.0,3272,23,33.01,0.703,4.7,2,1,3,21,54.0,108.0,36.0,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550020660,Remodeling / GC,2026-09-13,372.59,6198,42,60.11,0.678,8.87,3,3,4,37,124.2,124.2,93.15,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550020660,Remodeling / GC,2026-09-14,348.09,8120,43,42.87,0.53,8.1,7,7,10,42,49.73,49.73,34.81,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550020660,Remodeling / GC,2026-09-15,352.85,9214,51,38.29,0.554,6.92,5,5,6,53,70.57,70.57,58.81,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550020660,Remodeling / GC,2026-09-16,287.71,6384,39,45.07,0.611,7.38,1,1,3,36,287.71,287.71,95.9,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550020660,Remodeling / GC,2026-09-17,294.66,5937,32,49.63,0.539,9.21,4,4,6,36,73.67,73.67,49.11,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550020660,Remodeling / GC,2026-09-18,313.84,4963,26,63.24,0.524,12.07,5,5,7,30,62.77,62.77,44.83,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550110660,Roofing,2026-09-13,147.24,1405,6,104.8,0.427,24.54,0,0,1,13,,,147.24,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550110660,Roofing,2026-09-14,124.84,1130,5,110.48,0.442,24.97,0,0,2,6,,,62.42,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550110660,Roofing,2026-09-15,133.76,1272,10,105.16,0.786,13.38,1,1,2,13,133.76,133.76,66.88,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550110660,Roofing,2026-09-16,118.18,1268,9,93.2,0.71,13.13,0,0,1,21,,,118.18,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550110660,Roofing,2026-09-17,116.63,1000,7,116.63,0.7,16.66,0,0,0,18,,,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120251080550110660,Roofing,2026-09-18,112.19,2642,18,42.46,0.681,6.23,5,5,7,84,22.44,22.44,16.03,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; V:form versions change Sep18"
CAMPAIGN,120250540492410660,Main property,2026-08-18,164.04,4859,53,33.76,1.091,3.1,5,5,,,32.81,32.81,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-08-19,181.12,4244,61,42.68,1.437,2.97,4,4,,,45.28,45.28,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
CAMPAIGN,120250540492410660,Main property,2026-08-20,126.94,3311,42,38.34,1.268,3.02,6,6,,,21.16,21.16,,"O:observed browser sessions, not certified humans; C:CRM confirmed, attribution/time limits; T:session telemetry unavailable before Sep12; S:starts not measured"
