level,id,name,campaign_id,status,effective_status,daily_budget,lifetime_budget,targeting,optimization_goal,promoted_object,learning_stage_info,created_time,start_time,bid_strategy,attribution_spec,spend,impressions,link_clicks,CPM,link_CTR_pct,link_CPC,completed_saved,new_acquisitions,observed_starts,observed_sessions,CPL_saved,CPL_new,cost_per_observed_start,measurement_flags
AD SET,120251001156410660,CP Metro - Milwaukee - $20 - Lead,120251001083740660,PAUSED,PAUSED,2000,0,"{""age_max"": 65, ""age_min"": 18, ""geo_locations"": {""cities"": [{""country"": ""US"", ""distance_unit"": ""mile"", ""key"": ""2547917"", ""name"": ""Milwaukee"", ""radius"": 25, ""region"": ""Wisconsin"", ""region_id"": ""3892""}], ""location_types"": [""frequently_in"", ""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",OFFSITE_CONVERSIONS,"{""pixel_id"": ""831179966599677"", ""custom_event_type"": ""LEAD"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""7d_click""], ""last_sig_edit_ts"": 1788895915}",2026-09-08T15:25:55-0400,2026-09-08T15:25:55-0400,LOWEST_COST_WITHOUT_CAP,"[{""event_type"": ""CLICK_THROUGH"", ""window_days"": 7}]",79.89,2676,20,29.85,0.747,3.99,3,3,,0,26.63,26.63,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
AD SET,120251001152940660,CP Metro - Las Vegas - $20 - Lead,120251001083740660,PAUSED,PAUSED,2000,0,"{""age_max"": 65, ""age_min"": 18, ""geo_locations"": {""cities"": [{""country"": ""US"", ""distance_unit"": ""mile"", ""key"": ""2481714"", ""name"": ""Las Vegas"", ""radius"": 25, ""region"": ""Nevada"", ""region_id"": ""3871""}], ""location_types"": [""frequently_in"", ""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",OFFSITE_CONVERSIONS,"{""pixel_id"": ""831179966599677"", ""custom_event_type"": ""LEAD"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""7d_click""], ""last_sig_edit_ts"": 1788895915}",2026-09-08T15:25:36-0400,2026-09-08T15:25:37-0400,LOWEST_COST_WITHOUT_CAP,"[{""event_type"": ""CLICK_THROUGH"", ""window_days"": 7}]",79.39,2112,7,37.59,0.331,11.34,2,2,,0,39.7,39.7,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
AD SET,120251001148890660,CP Metro - Richmond - $20 - Lead,120251001083740660,PAUSED,PAUSED,2000,0,"{""age_max"": 65, ""age_min"": 18, ""geo_locations"": {""cities"": [{""country"": ""US"", ""distance_unit"": ""mile"", ""key"": ""2538983"", ""name"": ""Richmond"", ""radius"": 25, ""region"": ""Virginia"", ""region_id"": ""3889""}], ""location_types"": [""frequently_in"", ""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",OFFSITE_CONVERSIONS,"{""pixel_id"": ""831179966599677"", ""custom_event_type"": ""LEAD"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""7d_click""], ""last_sig_edit_ts"": 1788895914}",2026-09-08T15:25:13-0400,2026-09-08T15:25:13-0400,LOWEST_COST_WITHOUT_CAP,"[{""event_type"": ""CLICK_THROUGH"", ""window_days"": 7}]",76.2,2396,11,31.8,0.459,6.93,2,2,,0,38.1,38.1,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
AD SET,120251001144860660,CP Metro - Minneapolis - $20 - Lead,120251001083740660,PAUSED,PAUSED,2000,0,"{""age_max"": 65, ""age_min"": 18, ""geo_locations"": {""cities"": [{""country"": ""US"", ""distance_unit"": ""mile"", ""key"": ""2471428"", ""name"": ""Minneapolis"", ""radius"": 25, ""region"": ""Minnesota"", ""region_id"": ""3866""}], ""location_types"": [""frequently_in"", ""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",OFFSITE_CONVERSIONS,"{""pixel_id"": ""831179966599677"", ""custom_event_type"": ""LEAD"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""7d_click""], ""last_sig_edit_ts"": 1788895915}",2026-09-08T15:24:48-0400,2026-09-08T15:24:48-0400,LOWEST_COST_WITHOUT_CAP,"[{""event_type"": ""CLICK_THROUGH"", ""window_days"": 7}]",75.83,2203,12,34.42,0.545,6.32,1,1,,0,75.83,75.83,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
AD SET,120251001140100660,CP Metro - Philadelphia - $20 - Lead,120251001083740660,PAUSED,PAUSED,2000,0,"{""age_max"": 65, ""age_min"": 18, ""geo_locations"": {""cities"": [{""country"": ""US"", ""distance_unit"": ""mile"", ""key"": ""2511940"", ""name"": ""Philadelphia"", ""radius"": 25, ""region"": ""Pennsylvania"", ""region_id"": ""3881""}], ""location_types"": [""frequently_in"", ""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",OFFSITE_CONVERSIONS,"{""pixel_id"": ""831179966599677"", ""custom_event_type"": ""LEAD"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""7d_click""], ""last_sig_edit_ts"": 1788895915}",2026-09-08T15:24:17-0400,2026-09-08T15:24:17-0400,LOWEST_COST_WITHOUT_CAP,"[{""event_type"": ""CLICK_THROUGH"", ""window_days"": 7}]",78.31,2032,18,38.54,0.886,4.35,2,1,,0,39.16,78.31,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
AD SET,120251001129720660,CP Metro - Pittsburgh - $20 - Lead,120251001083740660,PAUSED,PAUSED,2000,0,"{""age_max"": 65, ""age_min"": 18, ""geo_locations"": {""cities"": [{""country"": ""US"", ""distance_unit"": ""mile"", ""key"": ""2512017"", ""name"": ""Pittsburgh"", ""radius"": 25, ""region"": ""Pennsylvania"", ""region_id"": ""3881""}], ""location_types"": [""frequently_in"", ""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",OFFSITE_CONVERSIONS,"{""pixel_id"": ""831179966599677"", ""custom_event_type"": ""LEAD"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""7d_click""], ""last_sig_edit_ts"": 1788895913}",2026-09-08T15:23:51-0400,2026-09-08T15:23:51-0400,LOWEST_COST_WITHOUT_CAP,"[{""event_type"": ""CLICK_THROUGH"", ""window_days"": 7}]",79.1,2124,12,37.24,0.565,6.59,2,2,,0,39.55,39.55,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
AD SET,120251001126440660,CP Metro - Cleveland - $20 - Lead,120251001083740660,PAUSED,PAUSED,2000,0,"{""age_max"": 65, ""age_min"": 18, ""geo_locations"": {""cities"": [{""country"": ""US"", ""distance_unit"": ""mile"", ""key"": ""2498857"", ""name"": ""Cleveland"", ""radius"": 25, ""region"": ""Ohio"", ""region_id"": ""3878""}], ""location_types"": [""frequently_in"", ""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",OFFSITE_CONVERSIONS,"{""pixel_id"": ""831179966599677"", ""custom_event_type"": ""LEAD"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""7d_click""], ""last_sig_edit_ts"": 1788895913}",2026-09-08T15:23:26-0400,2026-09-08T15:23:26-0400,LOWEST_COST_WITHOUT_CAP,"[{""event_type"": ""CLICK_THROUGH"", ""window_days"": 7}]",77.84,1562,13,49.83,0.832,5.99,3,3,,0,25.95,25.95,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
AD SET,120251001121210660,CP Metro - Columbus - $20 - Lead,120251001083740660,PAUSED,PAUSED,2000,0,"{""age_max"": 65, ""age_min"": 18, ""geo_locations"": {""cities"": [{""country"": ""US"", ""distance_unit"": ""mile"", ""key"": ""2498913"", ""name"": ""Columbus"", ""radius"": 25, ""region"": ""Ohio"", ""region_id"": ""3878""}], ""location_types"": [""frequently_in"", ""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",OFFSITE_CONVERSIONS,"{""pixel_id"": ""831179966599677"", ""custom_event_type"": ""LEAD"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""7d_click""], ""last_sig_edit_ts"": 1788895913}",2026-09-08T15:23:00-0400,2026-09-08T15:23:00-0400,LOWEST_COST_WITHOUT_CAP,"[{""event_type"": ""CLICK_THROUGH"", ""window_days"": 7}]",77.36,2505,15,30.88,0.599,5.16,1,1,,0,77.36,77.36,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
AD SET,120251001117230660,CP Metro - Indianapolis - $20 - Lead,120251001083740660,PAUSED,PAUSED,2000,0,"{""age_max"": 65, ""age_min"": 18, ""geo_locations"": {""cities"": [{""country"": ""US"", ""distance_unit"": ""mile"", ""key"": ""2442569"", ""name"": ""Indianapolis"", ""radius"": 25, ""region"": ""Indiana"", ""region_id"": ""3857""}], ""location_types"": [""frequently_in"", ""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",OFFSITE_CONVERSIONS,"{""pixel_id"": ""831179966599677"", ""custom_event_type"": ""LEAD"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""7d_click""], ""last_sig_edit_ts"": 1788895913}",2026-09-08T15:22:37-0400,2026-09-08T15:22:37-0400,LOWEST_COST_WITHOUT_CAP,"[{""event_type"": ""CLICK_THROUGH"", ""window_days"": 7}]",79.69,2490,15,32.0,0.602,5.31,0,0,,0,,,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
AD SET,120251001112050660,CP Metro - Chicago - $20 - Lead,120251001083740660,ACTIVE,ACTIVE,2000,0,"{""age_max"": 65, ""age_min"": 18, ""geo_locations"": {""cities"": [{""country"": ""US"", ""distance_unit"": ""mile"", ""key"": ""2438177"", ""name"": ""Chicago"", ""radius"": 25, ""region"": ""Illinois"", ""region_id"": ""3856""}], ""location_types"": [""frequently_in"", ""home"", ""recent""]}, ""targeting_automation"": {""advantage_audience"": 1}, ""publisher_platforms"": [""facebook"", ""instagram""], ""facebook_positions"": [""feed""], ""instagram_positions"": [""stream""], ""device_platforms"": [""mobile"", ""desktop""]}",OFFSITE_CONVERSIONS,"{""pixel_id"": ""831179966599677"", ""custom_event_type"": ""LEAD"", ""smart_pse_enabled"": false}","{""attribution_windows"": [""7d_click""], ""conversions"": 7, ""last_sig_edit_ts"": 1788895913, ""status"": ""FAIL""}",2026-09-08T15:22:12-0400,2026-09-08T15:22:12-0400,LOWEST_COST_WITHOUT_CAP,"[{""event_type"": ""CLICK_THROUGH"", ""window_days"": 7}]",214.29,4185,37,51.2,0.884,5.79,9,9,,15,23.81,23.81,,"S: sessions only since Sep12 01:50 ET; F: starts not historically recorded; C: reconciled completed intakes, including returns"
