id,name,campaign_id,adset_id,status,effective_status,created_time,updated_time,format,headline,primary_text,description,CTA,destination,url_tags,form_version,experiment_cell,creative_variant,image,creative_id,spend,impressions,link_clicks,CPM,link_CTR_pct,link_CPC,completed_saved,new_acquisitions,observed_starts,observed_sessions,CPL_saved,CPL_new,cost_per_observed_start,campaign_label,operating_window,campaign_spend_share_pct,set_spend_share_pct,completion_evidence,measurement_flags,level,adset_name,campaign_name,days_live_observed_delivery_through_Sep18,first_observed_delivery_day,last_observed_delivery_day,ever_delivered_asof_Sep19,Sep19_partial_spend,Sep19_partial_impressions,image_url,meta_actions_unreconciled,meta_conversions_unreconciled,review_feedback
120251081994030660,CT User Video Carryover | 120251073613300660,120251080549940660,120251080556040660,ACTIVE,ACTIVE,2026-09-13T00:23:25-0400,2026-09-13T00:27:16-0400,static image,One pool builder saved 58% on annual insurance.,We helped a pool builder save 58% on annual insurance. Get a pool-builder insurance quote and see how much you could save.,,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=pool&angle=percent,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,pool__percent__{step|long}__v1 (layout assigned at visit),,images/d890b456754c2069.jpg,908625912049501,95.9,2234,12,42.93,0.537,7.99,0,0,1,12,,,95.9,Pool,2026-09-13 to 2026-09-18,4.93,87.49,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | pool__price,CT Themes 20260913 | pool,6,2026-09-13,2026-09-18,True,3.63,82,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/d890b456754c2069.jpg,"[{""action_type"": ""link_click"", ""value"": ""12""}, {""action_type"": ""post_reaction"", ""value"": ""1""}, {""action_type"": ""landing_page_view"", ""value"": ""11""}, {""action_type"": ""omni_landing_page_view"", ""value"": ""11""}, {""action_type"": ""post_engagement"", ""value"": ""13""}, {""action_type"": ""post_interaction_gross"", ""value"": ""1""}, {""action_type"": ""page_engagement"", ""value"": ""13""}, {""action_type"": ""post_interaction_net"", ""value"": ""1""}, {""action_type"": ""onsite_conversion.post_net_like"", ""value"": ""1""}]",[],{}
120251081992970660,CT User Video Carryover | 120251073613510660,120251080549940660,120251080556040660,ACTIVE,ACTIVE,2026-09-13T00:23:05-0400,2026-09-13T00:26:01-0400,static image,One pool builder: $19K to $8K.,"We helped a pool builder go from $19,000 to $8,000 a year on insurance. Get a pool-builder insurance quote and see how much you could save.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=pool&angle=dollars,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,pool__dollars__{step|long}__v1 (layout assigned at visit),,images/69dff021c96d7649.jpg,1613398750412357,13.71,234,1,58.59,0.427,13.71,0,0,0,1,,,,Pool,2026-09-13 to 2026-09-18,0.71,12.51,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | pool__price,CT Themes 20260913 | pool,4,2026-09-13,2026-09-17,True,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/69dff021c96d7649.jpg,"[{""action_type"": ""link_click"", ""value"": ""1""}, {""action_type"": ""post_engagement"", ""value"": ""1""}, {""action_type"": ""page_engagement"", ""value"": ""1""}]",[],{}
120251081993460660,CT User Video Carryover | 120251073614320660,120251080549940660,120251080557630660,ACTIVE,ACTIVE,2026-09-13T00:23:14-0400,2026-09-13T00:26:54-0400,static image,Install in-ground pools?,"Make sure your insurance reflects your pool installation work, not just servicing. Tell us about your projects and get a pool-builder insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=pool&angle=installation,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,pool__installation__{step|long}__v1 (layout assigned at visit),,images/a4cb4ebc751026fe.jpg,2152708288928317,185.64,4093,25,45.36,0.611,7.43,1,0,1,27,185.64,,185.64,Pool,2026-09-13 to 2026-09-18,9.55,100.0,Confirmed completed intake,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | pool__work,CT Themes 20260913 | pool,6,2026-09-13,2026-09-18,True,2.77,48,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/a4cb4ebc751026fe.jpg,"[{""action_type"": ""link_click"", ""value"": ""25""}, {""action_type"": ""landing_page_view"", ""value"": ""23""}, {""action_type"": ""onsite_web_lead"", ""value"": ""1""}, {""action_type"": ""omni_landing_page_view"", ""value"": ""23""}, {""action_type"": ""post_engagement"", ""value"": ""27""}, {""action_type"": ""post_interaction_gross"", ""value"": ""2""}, {""action_type"": ""page_engagement"", ""value"": ""27""}, {""action_type"": ""post_interaction_net"", ""value"": ""2""}, {""action_type"": ""onsite_conversion.post_save"", ""value"": ""2""}, {""action_type"": ""onsite_conversion.post_net_save"", ""value"": ""2""}, {""action_type"": ""lead"", ""value"": ""1""}, {""action_type"": ""offsite_conversion.fb_pixel_lead"", ""value"": ""1""}, {""action_type"": ""offsite_lead_add_20_s_calls"", ""value"": ""1""}]",[],{}
120251081994750660,CT User Video Carryover | 120251073614770660,120251080549940660,120251080559780660,ACTIVE,ACTIVE,2026-09-13T00:23:32-0400,2026-09-13T00:25:49-0400,static image,Customer asking for a COI?,Send us the insurance requirements for your next pool project. We’ll help you compare coverage and get an insurance quote.,,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=pool&angle=coi,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,pool__coi__{step|long}__v1 (layout assigned at visit),,images/979e9a1c20d68198.jpg,1051194781247160,13.22,164,1,80.61,0.61,13.22,0,0,0,4,,,,Pool,2026-09-13 to 2026-09-18,0.68,100.0,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | pool__coi,CT Themes 20260913 | pool,3,2026-09-13,2026-09-15,True,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/979e9a1c20d68198.jpg,"[{""action_type"": ""link_click"", ""value"": ""1""}, {""action_type"": ""post_engagement"", ""value"": ""1""}, {""action_type"": ""page_engagement"", ""value"": ""1""}]",[],{}
120251150834450660,CT MECHANISM 20260917 | pool-exclusion,120251080549940660,120251080559780660,ACTIVE,ACTIVE,2026-09-16T23:17:30-0400,2026-09-16T23:22:13-0400,static image,Pool construction is not pool service,"Pool builders: does your liability policy cover pool construction, or only pool service? Tell us what you build before your next renewal. Get a pool-construction insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=pool&angle=coi,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,pool__coi__{step|long}__v1 (layout assigned at visit),,images/979e9a1c20d68198.jpg,963521396805589,0,0,0,,,,0,0,0,6,,,,Pool,2026-09-13 to 2026-09-18,0.0,0.0,No delivery through Sep18,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | pool__coi,CT Themes 20260913 | pool,0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/979e9a1c20d68198.jpg,[],[],{}
120251080706280660,CT Themes 20260913 | pool__a8__cta1__cream__image0__v1,120251080549940660,120251080701120660,PAUSED,PAUSED,2026-09-12T22:22:36-0400,2026-09-12T22:25:59-0400,static image,Pool builders - insurance quotes,"Insurance for your business from $39/month. Take 2 minutes to request your quote.

Get your business insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=pool&angle=coi&creative_variant=pool__a8__cta1__cream__image0__v1&creative_angle=Monthly%20starting%20price,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,pool__coi__{step|long}__v1 (layout assigned at visit),pool__a8__cta1__cream__image0__v1,images/8d0bfb9b0a84213c.jpg,3147122712164232,0,0,0,,,,0,0,0,0,,,,Pool,2026-09-13 to 2026-09-18,0.0,0,No delivery through Sep18,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | pool__monthly,CT Themes 20260913 | pool,0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/8d0bfb9b0a84213c.jpg,[],[],{}
120251080706350660,CT Themes 20260913 | pool__a8__cta1__cream__image1__v1,120251080549940660,120251080701120660,PAUSED,PAUSED,2026-09-12T22:22:37-0400,2026-09-12T22:25:57-0400,static image,Pool builders - insurance quotes,"Insurance for your business from $39/month. Take 2 minutes to request your quote.

Get your business insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=pool&angle=coi&creative_variant=pool__a8__cta1__cream__image1__v1&creative_angle=Monthly%20starting%20price,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,pool__coi__{step|long}__v1 (layout assigned at visit),pool__a8__cta1__cream__image1__v1,images/cc775a5924e20d2e.jpg,1398310632433555,0,0,0,,,,0,0,0,0,,,,Pool,2026-09-13 to 2026-09-18,0.0,0,No delivery through Sep18,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | pool__monthly,CT Themes 20260913 | pool,0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/cc775a5924e20d2e.jpg,[],[],{}
120251080707120660,CT Themes 20260913 | pool__a8__cta1__cream__image2__v1,120251080549940660,120251080701120660,PAUSED,PAUSED,2026-09-12T22:22:42-0400,2026-09-12T22:27:29-0400,static image,Pool builders - insurance quotes,"Insurance for your business from $39/month. Take 2 minutes to request your quote.

Get your business insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=pool&angle=coi&creative_variant=pool__a8__cta1__cream__image2__v1&creative_angle=Monthly%20starting%20price,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,pool__coi__{step|long}__v1 (layout assigned at visit),pool__a8__cta1__cream__image2__v1,images/dc9d12ab72231b5a.jpg,1068886219236199,0,0,0,,,,0,0,0,0,,,,Pool,2026-09-13 to 2026-09-18,0.0,0,No delivery through Sep18,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | pool__monthly,CT Themes 20260913 | pool,0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/dc9d12ab72231b5a.jpg,[],[],{}
120251080707150660,CT Themes 20260913 | pool__a8__cta1__cream__image3__v1,120251080549940660,120251080701120660,PAUSED,PAUSED,2026-09-12T22:22:43-0400,2026-09-12T22:27:49-0400,static image,Pool builders - insurance quotes,"Insurance for your business from $39/month. Take 2 minutes to request your quote.

Get your business insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=pool&angle=coi&creative_variant=pool__a8__cta1__cream__image3__v1&creative_angle=Monthly%20starting%20price,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,pool__coi__{step|long}__v1 (layout assigned at visit),pool__a8__cta1__cream__image3__v1,images/4abceb64c40b923b.jpg,2513124029161706,0,0,0,,,,0,0,0,0,,,,Pool,2026-09-13 to 2026-09-18,0.0,0,No delivery through Sep18,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | pool__monthly,CT Themes 20260913 | pool,0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/4abceb64c40b923b.jpg,[],[],{}
120251080711960660,CT Themes 20260913 | pool__a8__cta1__navy__image1__v1,120251080549940660,120251080701120660,PAUSED,PAUSED,2026-09-12T22:23:01-0400,2026-09-12T22:28:28-0400,static image,Pool builders - insurance quotes,"Insurance for your business from $39/month. Take 2 minutes to request your quote.

Get your business insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=pool&angle=coi&creative_variant=pool__a8__cta1__navy__image1__v1&creative_angle=Monthly%20starting%20price,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,pool__coi__{step|long}__v1 (layout assigned at visit),pool__a8__cta1__navy__image1__v1,images/ee5bfa6f9837e9a0.jpg,1141038095015696,0,0,0,,,,0,0,0,0,,,,Pool,2026-09-13 to 2026-09-18,0.0,0,No delivery through Sep18,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | pool__monthly,CT Themes 20260913 | pool,0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/ee5bfa6f9837e9a0.jpg,[],[],{}
