id,name,campaign_id,adset_id,status,effective_status,created_time,updated_time,format,headline,primary_text,description,CTA,destination,url_tags,form_version,experiment_cell,creative_variant,image,creative_id,spend,impressions,link_clicks,CPM,link_CTR_pct,link_CPC,completed_saved,new_acquisitions,observed_starts,observed_sessions,CPL_saved,CPL_new,cost_per_observed_start,campaign_label,operating_window,campaign_spend_share_pct,set_spend_share_pct,completion_evidence,measurement_flags,level,adset_name,campaign_name,days_live_observed_delivery_through_Sep18,first_observed_delivery_day,last_observed_delivery_day,ever_delivered_asof_Sep19,Sep19_partial_spend,Sep19_partial_impressions,image_url,meta_actions_unreconciled,meta_conversions_unreconciled,review_feedback
120251089581830660,CT Reuse 20260914 | tree_original_copy_clean_image,120251080550210660,120251080554280660,ACTIVE,ACTIVE,2026-09-13T21:54:25-0400,2026-09-13T21:57:25-0400,static image,General liability for tree services,"Tree work GL is one of the hardest classes to place - and one of the most overpriced. We use AI to shop it and find you a better rate, reviewed by a licensed agent. Want yours checked?",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=tree&angle=savings,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,tree__savings__{step|long}__v1 (layout assigned at visit),,images/d5b7a45093b573ae.jpg,1625858412267775,67.9,1353,9,50.18,0.665,7.54,2,2,2,9,33.95,33.95,33.95,Tree,2026-09-13 to 2026-09-18,9.44,57.6,Confirmed completed intake,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | tree__price,CT Themes 20260913 | tree,6,2026-09-13,2026-09-18,True,0.95,15,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/d5b7a45093b573ae.jpg,"[{""action_type"": ""link_click"", ""value"": ""9""}, {""action_type"": ""landing_page_view"", ""value"": ""8""}, {""action_type"": ""onsite_web_lead"", ""value"": ""2""}, {""action_type"": ""omni_landing_page_view"", ""value"": ""8""}, {""action_type"": ""post_engagement"", ""value"": ""9""}, {""action_type"": ""page_engagement"", ""value"": ""9""}, {""action_type"": ""lead"", ""value"": ""2""}, {""action_type"": ""offsite_conversion.fb_pixel_lead"", ""value"": ""2""}, {""action_type"": ""offsite_lead_add_20_s_calls"", ""value"": ""2""}]",[],{}
120251081898840660,CT User Video Carryover | 120251073617470660,120251080550210660,120251080554280660,ACTIVE,ACTIVE,2026-09-13T00:12:51-0400,2026-09-13T01:05:21-0400,static image,Why not try to save on tree-service insurance?,"We shop general liability across carriers for tree removal, trimming and stump grinding businesses. Get a quote and compare your current rate.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=tree&angle=savings,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,tree__savings__{step|long}__v1 (layout assigned at visit),,images/d5b7a45093b573ae.jpg,1550114646364773,39.33,1120,6,35.12,0.536,6.55,1,1,3,7,39.33,39.33,13.11,Tree,2026-09-13 to 2026-09-18,5.47,33.36,Confirmed completed intake,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | tree__price,CT Themes 20260913 | tree,6,2026-09-13,2026-09-18,True,1.14,29,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/d5b7a45093b573ae.jpg,"[{""action_type"": ""link_click"", ""value"": ""6""}, {""action_type"": ""landing_page_view"", ""value"": ""6""}, {""action_type"": ""onsite_web_lead"", ""value"": ""2""}, {""action_type"": ""omni_landing_page_view"", ""value"": ""6""}, {""action_type"": ""post_engagement"", ""value"": ""6""}, {""action_type"": ""page_engagement"", ""value"": ""6""}, {""action_type"": ""lead"", ""value"": ""2""}, {""action_type"": ""offsite_conversion.fb_pixel_lead"", ""value"": ""2""}, {""action_type"": ""offsite_lead_add_20_s_calls"", ""value"": ""2""}]",[],{}
120251182913330660,CT Native Voice 20260918 | tree-coverage_gap,120251080550210660,120251080554280660,ACTIVE,ACTIVE,2026-09-18T18:52:59-0400,2026-09-18T18:57:15-0400,static image,Insurance for tree work,"tree trimming and tree removal aren't always the same thing to an insurer.

i'm checking that taking the whole tree down is actually included. not just assuming 'tree work' means everything.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=tree&angle=savings,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,tree__savings__{step|long}__v1 (layout assigned at visit),,images/aa90f4cd739e5385.jpg,2191712962220803,10.66,306,4,34.84,1.307,2.67,0,0,0,3,,,,Tree,2026-09-13 to 2026-09-18,1.48,9.04,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | tree__price,CT Themes 20260913 | tree,1,2026-09-18,2026-09-18,True,19.21,552,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/aa90f4cd739e5385.jpg,"[{""action_type"": ""link_click"", ""value"": ""4""}, {""action_type"": ""landing_page_view"", ""value"": ""3""}, {""action_type"": ""omni_landing_page_view"", ""value"": ""3""}, {""action_type"": ""post_engagement"", ""value"": ""4""}, {""action_type"": ""page_engagement"", ""value"": ""4""}]",[],{}
120251081899920660,CT User Video Carryover | 120251073617940660,120251080550210660,120251080554590660,ACTIVE,ACTIVE,2026-09-13T00:12:54-0400,2026-09-13T01:05:24-0400,static image,Your customer needs a COI?,Send us their insurance requirements and tell us about your tree work. We’ll help you compare coverage and get an insurance quote.,,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=tree&angle=coi,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,tree__coi__{step|long}__v1 (layout assigned at visit),,images/23f30d63d2491aa0.jpg,2260561164788345,0.1,6,0,16.67,0.0,,0,0,0,4,,,,Tree,2026-09-13 to 2026-09-18,0.01,100.0,Delivery without confirmed completion,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | tree__coi,CT Themes 20260913 | tree,2,2026-09-13,2026-09-14,True,0.36,2,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/23f30d63d2491aa0.jpg,[],[],{}
120251081993110660,CT User Video Carryover | 120251073617230660,120251080550210660,120251080556650660,ACTIVE,ACTIVE,2026-09-13T00:23:08-0400,2026-09-13T01:05:25-0400,static image,Remove trees? Make sure your insurance covers that work.,Tree removal is part of your business. Make sure it’s part of your insurance too. We’ll review your coverage needs and shop a general liability quote for your tree service. Get a quote.,,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=tree&angle=coverage,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,tree__coverage__{step|long}__v1 (layout assigned at visit),,images/7a6f05343e6c331a.jpg,2164435074423289,559.59,21886,104,25.57,0.475,5.38,7,6,14,93,79.94,93.27,39.97,Tree,2026-09-13 to 2026-09-18,77.77,100.0,Confirmed completed intake,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | tree__work,CT Themes 20260913 | tree,6,2026-09-13,2026-09-18,True,29.56,992,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/7a6f05343e6c331a.jpg,"[{""action_type"": ""link_click"", ""value"": ""104""}, {""action_type"": ""post_reaction"", ""value"": ""7""}, {""action_type"": ""landing_page_view"", ""value"": ""89""}, {""action_type"": ""onsite_web_lead"", ""value"": ""6""}, {""action_type"": ""omni_landing_page_view"", ""value"": ""89""}, {""action_type"": ""onsite_conversion.post_unlike"", ""value"": ""1""}, {""action_type"": ""post_engagement"", ""value"": ""119""}, {""action_type"": ""post_interaction_gross"", ""value"": ""15""}, {""action_type"": ""comment"", ""value"": ""1""}, {""action_type"": ""page_engagement"", ""value"": ""119""}, {""action_type"": ""post_interaction_net"", ""value"": ""16""}, {""action_type"": ""post"", ""value"": ""3""}, {""action_type"": ""onsite_conversion.post_save"", ""value"": ""4""}, {""action_type"": ""onsite_conversion.post_net_comment"", ""value"": ""1""}, {""action_type"": ""onsite_conversion.post_net_save"", ""value"": ""4""}, {""action_type"": ""onsite_conversion.post_net_like"", ""value"": ""6""}, {""action_type"": ""lead"", ""value"": ""6""}, {""action_type"": ""offsite_conversion.fb_pixel_lead"", ""value"": ""6""}, {""action_type"": ""offsite_lead_add_20_s_calls"", ""value"": ""6""}]",[],{}
120251080745540660,CT Themes 20260913 | tree__a8__cta1__cream__image0__v1,120251080550210660,120251080703040660,PAUSED,PAUSED,2026-09-12T22:26:11-0400,2026-09-12T22:34:12-0400,static image,Tree service companies - insurance quotes,"Insurance for your business from $39/month. Take 2 minutes to request your quote.

Get your business insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=tree&angle=coi&creative_variant=tree__a8__cta1__cream__image0__v1&creative_angle=Monthly%20starting%20price,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,tree__coi__{step|long}__v1 (layout assigned at visit),tree__a8__cta1__cream__image0__v1,images/875bd2949a592b27.jpg,1847627713273952,0,0,0,,,,0,0,0,0,,,,Tree,2026-09-13 to 2026-09-18,0.0,0,No delivery through Sep18,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | tree__monthly,CT Themes 20260913 | tree,0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/875bd2949a592b27.jpg,[],[],{}
120251080745780660,CT Themes 20260913 | tree__a8__cta1__cream__image1__v1,120251080550210660,120251080703040660,PAUSED,PAUSED,2026-09-12T22:26:12-0400,2026-09-12T22:34:49-0400,static image,Tree service companies - insurance quotes,"Insurance for your business from $39/month. Take 2 minutes to request your quote.

Get your business insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=tree&angle=coi&creative_variant=tree__a8__cta1__cream__image1__v1&creative_angle=Monthly%20starting%20price,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,tree__coi__{step|long}__v1 (layout assigned at visit),tree__a8__cta1__cream__image1__v1,images/8cc1b0394592187e.jpg,2219444015644745,0,0,0,,,,0,0,0,0,,,,Tree,2026-09-13 to 2026-09-18,0.0,0,No delivery through Sep18,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | tree__monthly,CT Themes 20260913 | tree,0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/8cc1b0394592187e.jpg,[],[],{}
120251080746910660,CT Themes 20260913 | tree__a8__cta1__cream__image2__v1,120251080550210660,120251080703040660,PAUSED,PAUSED,2026-09-12T22:26:18-0400,2026-09-12T22:34:51-0400,static image,Tree service companies - insurance quotes,"Insurance for your business from $39/month. Take 2 minutes to request your quote.

Get your business insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=tree&angle=coi&creative_variant=tree__a8__cta1__cream__image2__v1&creative_angle=Monthly%20starting%20price,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,tree__coi__{step|long}__v1 (layout assigned at visit),tree__a8__cta1__cream__image2__v1,images/ffc5e735160e5d33.jpg,1778193430090473,0,0,0,,,,0,0,0,0,,,,Tree,2026-09-13 to 2026-09-18,0.0,0,No delivery through Sep18,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | tree__monthly,CT Themes 20260913 | tree,0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/ffc5e735160e5d33.jpg,[],[],{}
120251080748210660,CT Themes 20260913 | tree__a8__cta1__navy__image0__v1,120251080550210660,120251080703040660,PAUSED,PAUSED,2026-09-12T22:26:30-0400,2026-09-12T22:34:20-0400,static image,Tree service companies - insurance quotes,"Insurance for your business from $39/month. Take 2 minutes to request your quote.

Get your business insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=tree&angle=coi&creative_variant=tree__a8__cta1__navy__image0__v1&creative_angle=Monthly%20starting%20price,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,tree__coi__{step|long}__v1 (layout assigned at visit),tree__a8__cta1__navy__image0__v1,images/001366d1b0d8f45d.jpg,2716085578806526,0,0,0,,,,0,0,0,0,,,,Tree,2026-09-13 to 2026-09-18,0.0,0,No delivery through Sep18,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | tree__monthly,CT Themes 20260913 | tree,0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/001366d1b0d8f45d.jpg,[],[],{}
120251080748900660,CT Themes 20260913 | tree__a8__cta1__navy__image1__v1,120251080550210660,120251080703040660,PAUSED,PAUSED,2026-09-12T22:26:33-0400,2026-09-12T22:34:40-0400,static image,Tree service companies - insurance quotes,"Insurance for your business from $39/month. Take 2 minutes to request your quote.

Get your business insurance quote.",,GET_QUOTE,https://www.cohesiveinsure.com/contractor-test?industry=tree&angle=coi&creative_variant=tree__a8__cta1__navy__image1__v1&creative_angle=Monthly%20starting%20price,utm_source=facebook&utm_medium=paid&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}&ad_id={{ad.id}}&adset_id={{adset.id}}&campaign_id={{campaign.id}},Current code: 2026-09-18-trade-v5; historical versions differ,tree__coi__{step|long}__v1 (layout assigned at visit),tree__a8__cta1__navy__image1__v1,images/7a0f0bdccc3a0594.jpg,1844841913562025,0,0,0,,,,0,0,0,0,,,,Tree,2026-09-13 to 2026-09-18,0.0,0,No delivery through Sep18,"O: observed session IDs, not verified people; C: reconciled completed intakes, including returns; V: form versions changed Sep18",AD,CT Themes 20260913 | tree__monthly,CT Themes 20260913 | tree,0,,,False,0.0,0,https://www.cohesiveinsure.com/marketing-review/20260919/deep-scan/images/7a0f0bdccc3a0594.jpg,[],[],{}
